Function,Num_Users,Latency(s),TPS
calculateTotalPenalty,2,0.01685774326324463,59.31992108222016
calculateTotalPenalty,3,0.013040939966837565,76.68158909886466
calculateTotalPenalty,4,0.013709604740142822,72.94156315622432
calculateTotalPenalty,5,0.01751847267150879,57.0826018198694
calculateTotalPenalty,6,0.012347737948099772,80.98649357503515
calculateTotalPenalty,7,0.010666983468191964,93.74721569428834
calculateTotalPenalty,8,0.011480540037155151,87.10391643281943
calculateTotalPenalty,9,0.011677556567721896,85.6343528888667
calculateTotalPenalty,10,0.011151266098022462,89.67591582962383
calculateTotalPenalty,11,0.011086875742132013,90.19673560512904
calculateTotalPenalty,12,0.00961679220199585,103.9847777715798
calculateTotalPenalty,13,0.009505895467904897,105.19787466381642
calculateTotalPenalty,14,0.009191053254263741,108.80145858540192
calculateTotalPenalty,15,0.011322863896687825,88.31687893842131
calculateTotalPenalty,16,0.009839951992034912,101.62651208150854
calculateTotalPenalty,17,0.009994745254516602,100.05257508170129
calculateTotalPenalty,18,0.011156638463338217,89.63273330816409
calculateTotalPenalty,19,0.010189144234908255,98.14366908007601
calculateTotalPenalty,20,0.0097589373588562,102.47017305552264
calculateTotalPenalty,21,0.009936389468965075,100.64017751350832
calculateTotalPenalty,22,0.00988338210365989,101.1799391657328
calculateTotalPenalty,23,0.009219874506411345,108.4613461175222
calculateTotalPenalty,24,0.010710229476292929,93.36868105520035
calculateTotalPenalty,25,0.010055313110351563,99.44991160648573
calculateTotalPenalty,26,0.008836856255164513,113.1624155836609
calculateTotalPenalty,27,0.01194363170199924,83.72662728980586
calculateTotalPenalty,28,0.008855419499533517,112.92519795958596
calculateTotalPenalty,29,0.00949987871893521,105.26450174640594
calculateTotalPenalty,30,0.009486198425292969,105.41630642404745
calculateTotalPenalty,31,0.009896347599644814,101.04738035231205
calculateTotalPenalty,32,0.010330863296985626,96.79733157361431
calculateTotalPenalty,33,0.008907014673406427,112.27106237802533
calculateTotalPenalty,34,0.009053300408756031,110.45695545823658
calculateTotalPenalty,35,0.008567265101841517,116.7233636537116
calculateTotalPenalty,36,0.008784062332577176,113.84254370456041
calculateTotalPenalty,37,0.009112751161729967,109.73634440931664
calculateTotalPenalty,38,0.008688631810640035,115.09291932193598
calculateTotalPenalty,39,0.008930035126514925,111.98164238243758
calculateTotalPenalty,40,0.009770262241363525,102.35139807879315
calculateTotalPenalty,41,0.00894490683951029,111.79546281945933
calculateTotalPenalty,42,0.008775296665373303,113.95626132458051
calculateTotalPenalty,43,0.009415033251740212,106.21311399141014
calculateTotalPenalty,44,0.00948986140164462,105.37561695334108
calculateTotalPenalty,45,0.009123643239339193,109.60533788609955
calculateTotalPenalty,46,0.010025532349296238,99.74532674768108
calculateTotalPenalty,47,0.008934589142495014,111.924564638766
