Function,Avg Cost in ETH,Avg Cost in USD (ETH),Avg Cost in MATIC,Avg Cost in USD (MATIC)
calculateTotalPenalty,0.00053226,0.9866822976,1.4510033788235293,0.9866822975999999
transferFunds,0.00060274,1.1173353024000001,1.6431401505882353,1.1173353024000001
requestFunds,0.00048534,0.8997038784,1.3230939388235294,0.8997038784000001
