Number of Users,Average Registration Gas,Average Service Addition Gas,Average Service Selection Gas,Average Registration Latency,Average Service Addition Latency,Average Service Selection Latency,Registration TPS,Service Addition TPS,Service Selection TPS
36,67741.0,77454.0,31252.0,0.05800342559814453,0.06861739158630371,0.057395219802856445,17.240361059502476,14.573564760797519,17.42305375665156
37,67741.0,77454.0,31240.0,0.05987215042114258,0.0613037109375,0.059157609939575195,16.70225627384299,16.312226204699325,16.903995969773298
38,67741.0,77454.0,31252.0,0.062192440032958984,0.06487345695495605,0.0633399486541748,16.07912472110836,15.41462482405301,15.787824607497356
39,67741.0,77454.0,31252.0,0.058034420013427734,0.06159849166870117,0.07276105880737305,17.23115350801515,16.234163741838994,13.743615285305163
40,67741.0,77454.0,31240.0,0.06386041641235352,0.06345639228820801,0.0693213939666748,15.65915251073362,15.75885366218382,14.425561039363037
41,67741.0,77454.0,31252.0,0.06514358520507812,0.06530041694641113,0.06060457229614258,15.350705627452129,15.313837901228888,16.500405202325783
42,67741.0,77454.0,31252.0,0.061113834381103516,0.06072115898132324,0.07293272018432617,16.362907189950455,16.468723864568897,13.7112670070807
43,67741.0,77454.0,31252.0,0.06628704071044922,0.06483969688415528,0.0769655704498291,15.085905016760902,15.422650753390052,12.992822558911087
44,67741.0,77454.0,31240.0,0.06653332710266113,0.06665182113647461,0.06265544891357422,15.03006152776633,15.003340988274347,15.960303809799235
45,67741.0,77454.0,31252.0,0.06831216812133789,0.06883454322814941,0.06156778335571289,14.638680450366813,14.527589682487452,16.242260895157106
46,67741.0,77454.0,31240.0,0.06554484367370605,0.07074055671691895,0.07253551483154297,15.256730262081007,14.136162428035162,13.78635007034013
47,67741.0,77454.0,31252.0,0.06577610969543457,0.07022466659545898,0.07902836799621582,15.203088243289777,14.240010646980618,12.653684054919163
48,67741.0,77454.0,31252.0,0.07307982444763184,0.0695958137512207,0.08192968368530273,13.683667244118636,14.368680328598932,12.205588438996852
49,67741.0,77454.0,31240.0,0.06934571266174316,0.0744619369506836,0.08420634269714355,14.420502171170025,13.429680195699227,11.875589984908844
50,67741.0,77454.0,31240.0,0.07320880889892578,0.07064285278320312,0.07494425773620605,13.65955839249658,14.155713714859656,13.343250439811795
