Action,User_Index,Gas_Used,Latency
Registration,1,67693,0.0511014461517334
Service_Addition,1,89478,0.060460567474365234
Service_Addition,1,74478,0.056036949157714844
Service_Addition,1,74442,0.048755645751953125
Service_Addition,1,74442,0.053487539291381836
Registration,2,67777,0.05169963836669922
Service_Addition,2,89430,0.08019399642944336
Service_Addition,2,74478,0.05272674560546875
Service_Addition,2,74478,0.04924798011779785
Service_Addition,2,74478,0.05246686935424805
Registration,3,67729,0.04608035087585449
Service_Addition,3,89442,0.04608154296875
Service_Addition,3,74418,0.04198575019836426
Registration,4,67729,0.048816680908203125
Service_Addition,4,89418,0.04998040199279785
Service_Addition,4,74418,0.04852437973022461
Service_Addition,4,74466,0.04560256004333496
Registration,5,67705,0.04417157173156738
Service_Addition,5,89430,0.04333758354187012
Service_Addition,5,74466,0.056682586669921875
Registration,6,67681,0.05473923683166504
Service_Addition,6,89478,0.051527976989746094
Service_Addition,6,74478,0.04424643516540527
Registration,7,67693,0.044829368591308594
Service_Addition,7,89430,0.05638456344604492
Service_Addition,7,74430,0.041899919509887695
Service_Addition,7,74466,0.04550886154174805
Service_Addition,7,74442,0.05201268196105957
Registration,8,67765,0.048107147216796875
Service_Addition,8,89466,0.04496622085571289
Service_Addition,8,74454,0.043968915939331055
Service_Addition,8,74442,0.05002307891845703
Registration,9,67717,0.044515132904052734
Service_Addition,9,89418,0.04805588722229004
Registration,10,67765,0.05336356163024902
Service_Addition,10,89454,0.04375171661376953
Registration,11,67765,0.05299973487854004
Service_Addition,11,89442,0.04729461669921875
Service_Addition,11,74430,0.044235944747924805
Service_Addition,11,74466,0.04617714881896973
Service_Addition,11,74454,0.04574728012084961
Registration,12,67693,0.05195212364196777
Service_Addition,12,89442,0.05468893051147461
Registration,13,67741,0.04885458946228027
Service_Addition,13,89418,0.040281057357788086
Registration,14,67669,0.04419970512390137
Service_Addition,14,89478,0.042096614837646484
Service_Addition,14,74430,0.051635026931762695
Service_Addition,14,74454,0.043300628662109375
Service_Addition,14,74478,0.05037426948547363
Registration,15,67741,0.05583381652832031
Service_Addition,15,89418,0.04347825050354004
Service_Addition,15,74466,0.053472042083740234
Service_Addition,15,74418,0.05098152160644531
Service_Addition,15,74454,0.062342166900634766
Service_Addition,15,74430,0.052514076232910156
Registration,16,67729,0.053002119064331055
Service_Addition,16,89442,0.04689598083496094
Service_Addition,16,74442,0.04807639122009277
Service_Addition,16,74478,0.050608158111572266
Service_Addition,16,74442,0.050804853439331055
Registration,17,67765,0.04570913314819336
Service_Addition,17,89430,0.04308915138244629
Registration,18,67717,0.04737138748168945
Service_Addition,18,89430,0.08304047584533691
Service_Addition,18,74442,0.048169851303100586
Registration,19,67729,0.04324626922607422
Service_Addition,19,89442,0.04567074775695801
Service_Addition,19,74478,0.053015947341918945
Service_Addition,19,74442,0.053530216217041016
Service_Addition,19,74430,0.04288935661315918
Registration,20,67717,0.04351687431335449
Service_Addition,20,89418,0.05012917518615723
Registration,21,67729,0.047168731689453125
Service_Addition,21,89454,0.04280519485473633
Service_Addition,21,74430,0.04140353202819824
Service_Addition,21,74430,0.041422128677368164
Service_Addition,21,74442,0.044122934341430664
Registration,22,67681,0.04633760452270508
Service_Addition,22,89418,0.04633927345275879
Service_Addition,22,74442,0.04386329650878906
Service_Addition,22,74442,0.048204660415649414
Service_Addition,22,74454,0.046614885330200195
Service_Addition,22,74442,0.0447540283203125
Registration,23,67729,0.050009965896606445
Service_Addition,23,89478,0.05044293403625488
Registration,24,67717,0.04725074768066406
Service_Addition,24,89442,0.049944400787353516
Service_Addition,24,74454,0.04881119728088379
Service_Addition,24,74466,0.04993414878845215
Registration,25,67693,0.044910430908203125
Service_Addition,25,89430,0.04631614685058594
Service_Addition,25,74418,0.04631161689758301
Service_Addition,25,74418,0.04165387153625488
Service_Addition,25,74466,0.05018115043640137
Registration,26,67753,0.04199695587158203
Service_Addition,26,89418,0.04385256767272949
Service_Addition,26,74442,0.05140805244445801
Service_Addition,26,74430,0.05063295364379883
Service_Addition,26,74418,0.04808831214904785
Service_Addition,26,74478,0.051673173904418945
Registration,27,67681,0.04154801368713379
Service_Addition,27,89466,0.0542597770690918
Service_Addition,27,74478,0.05293846130371094
Registration,28,67753,0.04957985877990723
Service_Addition,28,89442,0.042264461517333984
Service_Addition,28,74418,0.041219234466552734
Service_Addition,28,74466,0.054129838943481445
Service_Addition,28,74466,0.048918962478637695
Service_Addition,28,74442,0.044302940368652344
Registration,29,67765,0.0413813591003418
Service_Addition,29,89418,0.05626559257507324
Service_Addition,29,74418,0.04719138145446777
Service_Addition,29,74466,0.04765939712524414
Service_Addition,29,74454,0.046590328216552734
Registration,30,67705,0.04203438758850098
Service_Addition,30,89442,0.07100486755371094
Service_Addition,30,74478,0.05399274826049805
